Organism	Protein	COG	Cat	Annotation
612	759	COG2119	R	Putative Ca2+/H+ antiporter, TMEM165/GDT1 family
959	4871	COG2124	V Q	Cytochrome P450
180	181	COG2126	J	Ribosomal protein L37E
1257	4358	COG2133	G	Glucose/arabinose dehydrogenase, beta-propeller fold
1128	1501	COG2135	L	ssDNA abasic site-binding protein YedK/HMCES, SRAP family
874	1183	COG2138	H	Sirohydrochlorin ferrochelatase
190	190	COG2139	J	Ribosomal protein L21E
1245	8540	COG2141	H R	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)
960	985	COG2142	C	Succinate dehydrogenase, hydrophobic anchor subunit
680	708	COG2145	H	Hydroxyethylthiazole kinase, sugar kinase family
1279	2852	COG2146	P Q	Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase
190	190	COG2147	J	Ribosomal protein L19E
1796	4117	COG2148	M	Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)
130	139	COG2150	R	Predicted regulator of amino acid metabolism, contains ACT domain
1411	2221	COG2151	O	Metal-sulfur cluster biosynthetic enzyme, includes PaaD subunit of phenylacetate degradation complex
1334	2185	COG2153	R	Predicted N-acyltransferase, GNAT family
1229	1411	COG2154	H	Pterin-4a-carbinolamine dehydratase
140	140	COG2157	J	Ribosomal protein L20A (L18A)
1116	2940	COG2159	G	5-carboxyvanillate decarboxylase LigW (lignin degradation), amidohydro domain
167	167	COG2167	J	Ribosomal protein L39E
759	1174	COG2170	O	Gamma-glutamyl:cysteine ligase YbdK, ATP-grasp superfamily
1492	1547	COG2171	E	Tetrahydrodipicolinate N-succinyltransferase
1095	2026	COG2185	I	Methylmalonyl-CoA mutase, C-terminal domain/subunit (cobalamin-binding)
1861	17952	COG2197	K T	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains
1371	5506	COG2202	T	PAS domain
1674	15232	COG2204	T	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains
1717	6132	COG2205	T	K+-sensing histidine kinase KdpD
1590	4910	COG2211	G	Na+/melibiose symporter or related transporter
868	1058	COG2212	P	Multisubunit Na+/H+ antiporter, MnhF subunit
387	487	COG2214	K	Curved DNA-binding protein CbpA, contains a DnaJ-like domain
2132	6731	COG2217	P	Cation-transporting P-type ATPase
188	197	COG2219	L	Eukaryotic-type DNA primase, large subunit
1671	3483	COG2220	G	L-ascorbate lactonase UlaG, metallo-beta-lactamase superfamily
1545	3766	COG2223	P	Nitrate/nitrite transporter NarK
2214	19817	COG2226	J H	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG or 23S rRNA G745 methylase RmlAII or tRNA-U5 methylase TRM9
1144	2023	COG2233	F	Xanthine/uracil permease
996	3054	COG2234	O E	Zn-dependent amino- or carboxypeptidase, M28 family
716	803	COG2236	H	Hypoxanthine phosphoribosyltransferase
162	221	COG2237	S	Uncharacterized membrane protein, DUF373 family
