Organism	Protein	COG	Cat	Annotation
1197	2650	COG0619	H	ECF-type transporter transmembrane protein EcfT
1209	1826	COG0620	E	Methionine synthase II (cobalamin-independent)
1751	3561	COG0622	R	Mn2+-dependent phosphodiesterase, calcineurin family
2041	8039	COG0624	E	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase
981	8383	COG0625	O	Glutathione S-transferase or stringent starvation protein SspA
2122	5849	COG0628	R	Predicted PurR-regulated permease PerM
289	657	COG0630	N U	Type IV secretion system ATPase VirB11/Archaellum biosynthesis ATPase ArlI/FlaI
1417	5268	COG0633	C	Ferredoxin
360	887	COG0638	O	20S proteasome, alpha and beta subunits
2070	11390	COG0640	K	DNA-binding transcriptional regulator, ArsR family
2071	22658	COG0642	T	Signal transduction histidine kinase
1620	4390	COG0644	C	Dehydrogenase (flavoprotein)
1105	1593	COG0647	F	Ribonucleotide monophosphatase NagD, HAD superfamily
1051	1163	COG0648	L	Endonuclease IV
1434	1717	COG0649	C	NADH:ubiquinone oxidoreductase 49 kD subunit (chain D)
1213	2342	COG0651	C P	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit
1984	4034	COG0652	O	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family
1361	6548	COG0654	C H	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases
1252	2673	COG0656	Q	Aldo/keto reductase, related to diketogulonate reductase
1608	2609	COG0661	T H	Predicted protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family
1772	8507	COG0665	E	Glycine/D-amino acid oxidase (deaminating)
1757	8218	COG0667	H R	Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family
1572	2692	COG0671	I	Membrane-associated phospholipid phosphatase
1868	13762	COG0673	R	Predicted dehydrogenase
1262	2715	COG0674	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit
552	5023	COG0675	X	RNA-guided endonuclease of RuvC-like superfamily, non-autonomous transposon IS1341, or accessory protein of IS605 and IS607 transposable elements
1482	2755	COG0679	R	Predicted permease, AEC (auxin efflux carrier) family
2085	3089	COG0681	U	Signal peptidase I
1617	8468	COG0683	E	ABC-type branched-chain amino acid transport system, periplasmic component
1801	2274	COG0685	E	5,10-methylenetetrahydrofolate reductase
1165	3073	COG0687	E	Spermidine/putrescine-binding periplasmic protein
1445	1611	COG0688	I	Phosphatidylserine decarboxylase
1641	3279	COG0693	V	Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids)
1357	1810	COG0694	O	Fe-S cluster biogenesis protein NfuA, 4Fe-4S-binding domain
1715	3219	COG0695	O	Glutaredoxin
1322	1384	COG0696	G	Phosphoglycerate mutase (BPG-independent), AlkP superfamily
2098	15043	COG0697	E R	Amino acid export permease, drug/metabolite transporter (DMT) superfamily
1047	1542	COG0701	V P	Arsenite and antimonite resistance protein ArsP/YraQ, UPF0718 family
1460	4553	COG0702	R	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains
1806	2486	COG0704	P	Phosphate uptake regulator PhoU
1725	3572	COG0705	O	Membrane-associated serine protease, rhomboid family
502	531	COG0710	E	3-dehydroquinate dehydratase, type I
1390	1625	COG0713	C	NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)
1941	7179	COG0714	R	MoxR-like ATPase, includes components of a predicted archaeal secretion system
1672	6967	COG0715	P	ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component
1489	1668	COG0717	F	dCTP deaminase
1748	3376	COG0719	O	Fe-S cluster assembly scaffold protein SufB
1531	2061	COG0720	H	6-pyruvoyl-tetrahydropterin synthase
1841	1857	COG0721	J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit
1504	2108	COG0725	P	ABC-type molybdate transport system, periplasmic Mo-binding protein ModA
990	1883	COG0727	R	Uncharacterized protein YkgJ, contains CxxCxxCC motif
1292	2487	COG0732	V	Restriction endonuclease S subunit
1386	2716	COG0737	V F	2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family
2122	31346	COG0745	K T	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain
1562	1670	COG0746	H	Molybdopterin-guanine dinucleotide biosynthesis protein A
1802	9335	COG0747	E	ABC-type transport system, periplasmic component
459	490	COG0748	P	Putative heme iron utilization protein, contains PNPOx domain
2198	2554	COG0750	K O	Membrane-associated protease RseP, regulator of RpoE activity
1444	6677	COG0765	E	ABC-type amino acid transport system, permease component
2066	6856	COG0778	C	Nitroreductase
1295	1780	COG0783	B	DNA-binding ferritin-like chromatin protein Dps
1646	18168	COG0784	T	CheY-like REC (receiver) domain, includes chemotaxis protein CheY and sporulation regulator Spo0F
1082	1610	COG0785	O C	Cytochrome c biogenesis protein CcdA
1110	1277	COG0788	F	Formyltetrahydrofolate hydrolase
1121	1399	COG0798	P	Arsenite efflux pump ArsB, ACR3 family
1269	1915	COG0800	G	2-keto-3-deoxy-6-phosphogluconate aldolase
1608	2465	COG0803	P	ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA
672	726	COG0804	E	Urease alpha subunit
1795	2009	COG0805	U	Twin-arginine protein secretion pathway component TatC
587	766	COG0819	H	Aminopyrimidine aminohydrolase TenA (thiamine salvage pathway)
1823	2325	COG0822	O	Fe-S cluster assembly scaffold protein IscU, NifU family
663	708	COG0829	O	Urease accessory protein UreD/UreH
665	706	COG0830	O	Urease accessory protein UreF
678	736	COG0831	E	Urease gamma subunit
665	721	COG0832	E	Urease beta subunit
1776	11730	COG0834	T E	ABC-type amino acid transport/signal transduction system, periplasmic component/domain
1465	1698	COG0836	M	Mannose-1-phosphate guanylyltransferase
1415	1657	COG0838	C	NADH:ubiquinone oxidoreductase subunit 3 (chain A)
1406	1647	COG0839	C	NADH:ubiquinone oxidoreductase subunit 6 (chain J)
1992	7359	COG0842	V	ABC-type multidrug transport system, permease component
1459	2629	COG0843	C	Heme/copper-type cytochrome/quinol oxidase, subunit 1
1472	1809	COG0852	C	NADH:ubiquinone oxidoreductase 27 kD subunit (chain C)
1150	1196	COG0853	H	Aspartate 1-decarboxylase
1526	1648	COG0855	P	Polyphosphate kinase
96	101	COG0856	F	Orotate phosphoribosyltransferase homolog
1160	2479	COG0863	L V	DNA modification adenine methylase
661	966	COG0864	K	Metal-responsive transcriptional regulator, contains CopG/Arc/MetJ DNA-binding domain
1707	2211	COG1004	M	UDP-glucose 6-dehydrogenase
1423	1682	COG1005	C	NADH:ubiquinone oxidoreductase subunit 1 (chain H)
960	1191	COG1006	P	Multisubunit Na+/H+ antiporter, MnhC subunit
1421	1677	COG1007	C	NADH:ubiquinone oxidoreductase subunit 2 (chain N)
1408	2001	COG1008	C	NADH:ubiquinone oxidoreductase subunit 4 (chain M)
1704	3134	COG1009	C	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Na+/H+ antiporter, MnhA subunit/Na+:bicarbonate transporter, MpsA subunit
851	902	COG1010	H	Precorrin-3B methylase
1903	5396	COG1011	H	FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis)
2054	15641	COG1012	I	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase
1267	2737	COG1013	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit
1507	3760	COG1014	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit
1382	3766	COG1018	C	Flavodoxin/ferredoxin--NADP reductase
150	168	COG1019	H	Phosphopantetheine adenylyltransferase
594	646	COG1023	G	6-phosphogluconate dehydrogenase (decarboxylating)
1613	12722	COG1024	I	Enoyl-CoA hydratase/carnithine racemase
2182	35316	COG1028	I	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family
157	158	COG1031	R	Radical SAM superfamily enzyme with C-terminal helix-hairpin-helix motif
891	1735	COG1033	R	Predicted exporter protein, RND superfamily
513	621	COG1041	J	tRNA G10 N-methylase Trm11
1834	2852	COG1045	E	Serine acetyltransferase
1132	1868	COG1047	O	Peptidyl-prolyl cis-trans isomerase, FKBP type
1688	2047	COG1048	C	Aconitase A
2136	9278	COG1051	F	ADP-ribose pyrophosphatase YjhB, NUDIX family
1922	4075	COG1053	C	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit
1537	1642	COG1058	L	ADP-ribose pyrophosphatase domain of DNA damage- and competence-inducible protein CinA
990	1859	COG1060	H	2-iminoacetate synthase ThiH/Menaquinone biosynthesis enzymes MqnC and MqnE
1468	2940	COG1061	K L	Superfamily II DNA or RNA helicase
1667	5767	COG1063	E R	Threonine dehydrogenase or related Zn-dependent dehydrogenase
1236	2616	COG1064	G	D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family
714	907	COG1067	O	Predicted ATP-dependent protease
734	891	COG1078	R	HD superfamily phosphohydrolase
993	1708	COG1079	F	ABC-type guanosine uptake system NupNOPQ, permease subunit NupQ
1229	1621	COG1080	G	Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)
1445	7366	COG1082	G	Sugar phosphate isomerase/epimerase
164	165	COG1084	R	GTP-binding protein, GTP1/Obg family
1586	2888	COG1086	M	NDP-sugar epimerase, includes UDP-N-acetylglucosamine 4,6-dehydratase EpsC
192	193	COG1093	J	Translation initiation factor 2, alpha subunit (eIF-2alpha)
674	675	COG1094	J	rRNA processing protein Krr1/Pno1, contains KH domain
192	192	COG1095	K	DNA-directed RNA polymerase, subunit E'/Rpb7
506	791	COG1102	F	Cytidylate kinase
118	178	COG1107	L	Archaea-specific RecJ-like exonuclease, contains DnaJ-type Zn finger domain
1729	3128	COG1108	P	ABC-type Mn2+/Zn2+ transport system, permease component
2235	5305	COG1109	G	Phosphomannomutase
229	250	COG1111	L	ERCC4-related helicase
972	1494	COG1112	L	Superfamily I DNA and/or RNA helicase
1573	5441	COG1116	P	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component
1848	2512	COG1117	P	ABC-type phosphate transport system, ATPase component
1754	4230	COG1120	H P	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component
1702	2634	COG1121	P	ABC-type Mn2+/Zn2+ transport system, ATPase component
1206	3025	COG1122	P R	Energy-coupling factor transporter ATP-binding protein EcfA2
1467	4710	COG1126	E	ABC-type polar amino acid transport system, ATPase component
2184	16989	COG1131	J V	Ribosome-associated ATPase or ATPase component of an ABC-type multidrug transport system
2159	13047	COG1132	V M	ABC-type multidrug and LPS transport system, ATPase and permease component MsbA
2224	10650	COG1136	M	ABC-type lipoprotein targeting system ATPase component LolD
799	1306	COG1141	C	Ferredoxin
1836	4814	COG1143	C	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)
472	554	COG1155	C	Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1
470	552	COG1156	C	Archaeal/vacuolar-type H+-ATPase subunit B/Vma2
1972	2246	COG1159	J	GTPase Era, involved in 16S rRNA processing
234	241	COG1163	J	Ribosome-interacting GTPase RBG1
1054	1671	COG1164	E	Oligoendopeptidase F
778	792	COG1165	H	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
1729	3275	COG1171	E	Threonine deaminase
1810	8378	COG1173	E P	ABC-type dipeptide/oligopeptide/nickel transport system, permease component
1319	9617	COG1175	G	ABC-type sugar transport system, permease component
1118	2718	COG1176	E	ABC-type spermidine/putrescine transport system, permease component I
1161	3058	COG1177	E	ABC-type spermidine/putrescine transport system, permease component II
1233	2300	COG1178	P	ABC-type Fe3+ transport system, permease component
1389	1724	COG1183	I	Phosphatidylserine synthase
178	294	COG1184	J	Translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family
2046	6235	COG1192	D N	ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ
1010	1290	COG1193	J	Bacterial ribosome collision sensor RqcU, MutS2 ATPase family
1798	1837	COG1194	L	Adenine-specific DNA glycosylase, acts on AG and A-oxoG pairs
2060	6180	COG1196	D	Chromosome segregation ATPase Smc
1494	2041	COG1199	L	Rad3-related DNA helicase DinG
970	1266	COG1201	L	Lhr-like helicase
110	178	COG1202	L	Superfamily II helicase, archaea-specific
764	1001	COG1203	V	CRISPR-Cas type I system-associated endonuclease/helicase Cas3
456	596	COG1204	L	Replicative superfamily II helicase
766	1066	COG1205	L	ATP-dependent helicase YprA, contains C-terminal metal-binding DUF1998 domain
1564	3095	COG1208	J M	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s
1723	2427	COG1209	M	dTDP-glucose pyrophosphorylase
350	417	COG1213	I	Choline kinase
1928	6839	COG1215	N	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase
498	702	COG1222	O	ATP-dependent 26S proteasome regulatory subunit
1997	7836	COG1225	O	Peroxiredoxin
